time;atm_pm_1_0;atm_pm_10_0;atm_pm_2_5;co2;delta;hum;ma;temp
2025-11-08 13:01:09;2;6;4;466;-0.22;23.32;5.1;24.92
2025-11-08 13:01:20;2;4;4;467;-0.17;23.49;4.8;24.98
2025-11-08 13:01:30;2;4;4;469;-0.13;23.64;4.6;25.0
2025-11-08 13:01:40;2;4;3;478;-0.3;23.61;4.3;24.95
2025-11-08 13:01:50;1;5;4;484;-0.02;23.3;4.1;25.0
2025-11-08 13:02:00;2;5;5;490;0.19;23.29;4.2;24.95
2025-11-08 13:02:10;2;6;5;499;0.22;23.34;4.1;24.94
2025-11-08 13:02:20;2;6;5;494;0.22;23.38;4.1;25.0
2025-11-08 13:02:30;2;8;6;491;0.36;23.39;4.4;25.01
2025-11-08 13:02:40;1;6;5;488;0.11;23.41;4.5;25.03
2025-11-08 13:02:51;1;6;4;484;-0.11;23.43;4.5;25.01
2025-11-08 13:03:01;2;7;6;486;0.28;23.42;4.7;24.99
2025-11-08 13:03:11;1;5;5;491;0.04;23.42;4.8;24.98
2025-11-08 13:03:21;2;7;7;481;0.35;23.5;5.2;24.97
2025-11-08 13:03:31;2;7;6;479;0.11;23.53;5.4;24.96
2025-11-08 13:03:41;2;6;5;480;-0.07;23.4;5.4;24.95
2025-11-08 13:03:51;3;6;5;475;-0.07;23.37;5.4;24.88
2025-11-08 13:04:01;1;5;5;486;-0.07;23.35;5.4;24.85
2025-11-08 13:04:11;2;5;5;493;-0.06;23.37;5.3;24.95
2025-11-08 13:04:22;1;4;4;486;-0.23;23.46;5.2;24.96
2025-11-08 13:04:32;2;5;5;481;-0.06;23.42;5.3;24.96
2025-11-08 13:04:42;1;4;4;493;-0.22;23.45;5.1;24.95
2025-11-08 13:04:52;2;5;5;490;-0.02;23.44;5.1;24.94
2025-11-08 13:05:02;2;6;6;493;0.2;23.3;5.0;24.86
2025-11-08 13:05:12;2;7;7;492;0.37;23.26;5.1;24.84
2025-11-08 13:05:22;1;8;6;494;0.15;23.3;5.2;24.84
2025-11-08 13:05:32;3;7;6;485;0.13;23.41;5.3;24.9
2025-11-08 13:05:42;4;8;7;489;0.27;23.44;5.5;24.92
2025-11-08 13:05:53;2;6;5;499;-0.09;23.44;5.5;24.91
2025-11-08 13:06:03;2;7;4;513;-0.27;23.35;5.5;24.84
2025-11-08 13:06:13;2;7;6;514;0.07;23.27;5.6;24.85
2025-11-08 13:06:23;3;9;8;514;0.33;23.35;6.0;24.85
2025-11-08 13:06:33;3;7;5;513;-0.17;23.47;6.0;24.88
2025-11-08 13:06:43;4;6;6;516;0.0;23.51;6.0;24.94
2025-11-08 13:06:53;3;6;5;512;-0.14;23.51;5.8;24.94
2025-11-08 13:07:03;3;7;6;507;0.03;23.41;5.8;24.94
2025-11-08 13:07:13;3;7;6;511;0.03;23.38;5.8;24.94
2025-11-08 13:07:23;4;7;6;505;0.05;23.46;5.7;24.95
2025-11-08 13:07:34;3;6;5;513;-0.12;23.54;5.7;24.92
2025-11-08 13:07:44;3;6;5;506;-0.14;23.5;5.8;24.92
2025-11-08 13:07:54;3;6;6;508;0.03;23.43;5.8;24.96
2025-11-08 13:08:04;2;6;6;493;0.07;23.46;5.6;24.98
2025-11-08 13:08:14;3;6;6;502;0.05;23.48;5.7;24.97
2025-11-08 13:08:24;4;6;6;500;0.05;23.29;5.7;24.93
2025-11-08 13:08:34;3;4;4;502;-0.29;23.36;5.6;24.91
2025-11-08 13:08:44;3;4;4;499;-0.26;23.39;5.4;24.89
2025-11-08 13:08:54;4;7;6;492;0.11;23.53;5.4;24.91
2025-11-08 13:09:05;3;6;6;487;0.11;23.51;5.4;24.89
2025-11-08 13:09:15;4;6;6;486;0.09;23.38;5.5;24.93
2025-11-08 13:09:25;3;4;4;492;-0.26;23.52;5.4;24.92
2025-11-08 13:09:35;4;6;6;488;0.11;23.31;5.4;24.9
2025-11-08 13:09:45;2;6;5;501;-0.06;23.31;5.3;24.88
2025-11-08 13:09:55;2;7;6;501;0.13;23.36;5.3;24.83
2025-11-08 13:10:05;1;5;4;493;-0.22;23.45;5.1;24.85
2025-11-08 13:10:15;0;5;4;491;-0.22;23.46;5.1;24.88
2025-11-08 13:10:25;1;6;6;500;0.13;23.43;5.3;24.93
2025-11-08 13:10:36;0;5;5;511;-0.04;23.47;5.2;24.9
2025-11-08 13:10:46;1;8;6;514;0.15;23.39;5.2;24.93
2025-11-08 13:10:56;1;8;6;503;0.15;23.29;5.2;24.85
2025-11-08 13:11:06;1;8;7;502;0.27;23.22;5.5;24.84
2025-11-08 13:11:16;0;6;5;498;-0.07;23.3;5.4;24.8
2025-11-08 13:11:26;1;8;6;496;0.09;23.24;5.5;24.83
2025-11-08 13:11:36;1;6;5;492;-0.07;23.24;5.4;24.88
2025-11-08 13:11:46;2;8;6;500;0.07;23.3;5.6;24.9
2025-11-08 13:11:57;3;8;6;499;0.03;23.3;5.8;24.92
2025-11-08 13:12:07;2;7;5;495;-0.12;23.43;5.7;24.93
2025-11-08 13:12:17;2;6;4;484;-0.29;23.46;5.6;24.91
2025-11-08 13:12:27;1;5;3;488;-0.43;23.39;5.3;24.89
2025-11-08 13:12:37;3;8;5;499;-0.04;23.34;5.2;24.93
2025-11-08 13:12:47;2;6;5;503;0.0;23.38;5.0;24.93
2025-11-08 13:12:57;3;8;5;507;0.0;23.34;5.0;24.83
